City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
271,aykhal,66.0,111.5,251.38,100,100,2.33,RU,1731349152
272,lugovoy,42.9472,72.7644,277.78,72,92,1.71,KZ,1731349153
273,antigonish,45.6169,-61.9986,285.83,96,100,4.92,CA,1731349154
274,emerald,-23.5333,148.1667,296.67,76,100,5.93,AU,1731349155
275,ancud,-41.8697,-73.8203,284.37,75,100,5.9,CL,1731349156
276,watertown,42.3709,-71.1828,293.14,55,40,7.2,US,1731349157
277,ujae,8.9322,165.7642,301.57,75,44,5.29,MH,1731349158
278,ad dabbah,18.05,30.95,298.79,18,2,6.73,SD,1731349159
279,mando,10.7167,6.5667,298.73,29,34,3.13,NG,1731349160
280,fort bragg,35.139,-79.006,297.06,75,75,5.66,US,1731349162
281,andergrove,-21.0833,149.1833,298.57,67,78,4.46,AU,1731349163
282,shiyan,32.6475,110.7781,286.41,89,78,0.31,CN,1731349164
283,brookings,44.3114,-96.7984,277.84,74,0,5.14,US,1731349165
284,palmer,42.1584,-72.3287,292.67,47,75,7.72,US,1731349167
285,sabang,5.8933,95.3214,300.15,81,100,7.53,ID,1731349168
286,pout,14.7739,-17.0603,307.57,26,0,3.6,SN,1731349170
287,gokwe,-18.2048,28.9349,299.16,40,98,4.99,ZW,1731349171
288,suva,-18.1416,178.4415,293.86,100,75,0.0,FJ,1731349172
289,dargecit,37.5454,41.7197,285.74,71,93,1.38,TR,1731349173
290,kuching,1.55,110.3333,299.87,96,20,0.89,MY,1731349114
291,dudinka,69.4058,86.1778,246.36,97,40,3.92,RU,1731349176
292,christchurch,-43.5333,172.6333,283.1,80,7,3.74,NZ,1731349177
293,hadibu,12.65,54.0333,299.28,77,14,2.56,YE,1731349179
294,anseong,37.0108,127.2703,284.96,75,62,1.72,KR,1731349180
295,pandan,14.0453,124.1694,299.19,89,82,2.12,PH,1731349181
296,dongning,44.0622,131.1207,274.63,70,34,1.62,CN,1731349182
297,brak,27.5496,14.2714,293.42,26,95,2.32,LY,1731349183
298,viedma,-40.8135,-62.9967,293.36,22,15,8.17,AR,1731349048
299,bonthe,7.5264,-12.505,301.37,76,35,3.59,SL,1731349185
300,eyl,7.9803,49.8164,299.93,81,87,7.63,SO,1731349186
301,villa el carmen,11.9801,-86.5057,301.29,75,26,2.45,NI,1731349187
302,fish town,5.1964,-7.8756,297.9,90,65,1.93,LR,1731349189
303,stornoway,58.2093,-6.3865,281.53,91,20,1.03,GB,1731349190
